model,input_size,mean_latency_ms,std_latency,min_latency,max_latency
efficientnet_b0.pth,224,6.602481282316148,0.2897349244823199,6.070291972719133,7.423583010677248
efficientnet_b1.pth,240,9.70670995186083,0.550937367704251,8.886708004865795,11.088875005953014
efficientnet_b2.pth,260,9.595543770701624,0.36972746600718037,8.964499982539564,10.955125035252422
efficientnet_b3.pth,300,11.139005779987201,0.5248735668705541,10.210999986156821,12.556334026157856
ghostnet.pth,224,8.52206378011033,0.33292701191991586,7.996666012331843,9.343165962491184
mobilenet-100large.pth,224,5.283648721524514,0.2968278346068812,4.924250009935349,6.504708027932793
mobilenet-100small.pth,224,4.343570044147782,0.25755972939214344,3.9297500043176115,5.1821249653585255
mobilenet-75small.pth,224,4.2604204412782565,0.240308367365732,3.9422910194844007,5.331791995558888
mobilenetv2-large.pth,224,5.066401187214069,0.40717156098179974,4.492082982324064,6.235958018805832
mobilenetv2-small.pth,224,5.042369620059617,0.4331218330911202,4.465250007342547,6.748499989043921
regnety.pth,224,6.612107499386184,0.30333973674879966,6.0439580120146275,7.489458017516881
resnet18.pth,224,1.9089358195196837,0.13136340877686475,1.753667020238936,2.472291002050042
